rotationVector.y,rotationVector.x,magneticField.y,rotationVector.z,gravity.y,magneticField.z,linearAcceleration.y,gyroscope.y,gravity.x,gyroscope.z,gyroscope.x,magneticField.x,linearAcceleration.z,accelerometer.z,accelerometer.x,accelerometer.y,gravity.z,linearAcceleration.x
-0.006635232,-7.440188e-05,11.091614,0.4649158,-0.061795514,-58.666992,-0.0008969903,3.0517578e-05,0.11453734,-0.00021362305,0.00015258789,12.467957,-0.00092983246,9.806259,0.11198425,-0.062698364,9.805786,-0.0016026497
-0.006633104,-5.8186197e-05,10.832214,0.464888,-0.061490934,-58.288574,0.0007245615,-0.0001373291,0.11465019,0.00010681152,-3.0517578e-05,13.021851,0.0011425018,9.807938,0.115097046,-0.060775757,9.805787,-0.00028780848
-0.006625712,-0.00010965668,10.919189,0.46493948,-0.06232393,-58.35266,-0.00059951097,0.00015258789,0.11404891,-9.1552734e-05,-0.0002746582,13.1866455,-0.001791954,9.805313,0.11341858,-0.062454224,9.805789,-0.00063729286
-0.00665141,-0.00011855915,11.509705,0.4650186,-0.06272308,-58.691406,-0.0006852895,-0.0001373291,0.11440832,4.5776367e-05,-3.0517578e-05,13.291931,0.0010356903,9.807465,0.115097046,-0.062927246,9.805782,0.00020264089
-0.006637831,-0.00015904556,10.983276,0.4650389,-0.06330481,-58.711243,-0.0003342703,9.1552734e-05,0.113801844,4.5776367e-05,-0.00021362305,13.026428,-0.00058078766,9.805786,0.1131897,-0.06341553,9.805785,-0.0008658692
-0.0066822525,-0.0001073336,10.748291,0.46508342,-0.06281789,-60.221863,0.0013316199,-7.6293945e-05,0.11504159,0.00016784668,-9.1552734e-05,13.7283325,0.0004081726,9.807709,0.117004395,-0.0619812,9.805774,0.0021947697
-0.006679854,-0.000104277104,10.928345,0.465073,-0.062741585,-59.111023,-0.00042787194,9.1552734e-05,0.115028575,-3.0517578e-05,0.00015258789,13.261414,-0.0014801025,9.802673,0.114852905,-0.06460571,9.805775,0.00030907243
-0.0066501508,-0.00011261315,11.795044,0.46500716,-0.06260687,-57.83081,0.0003934577,-7.6293945e-05,0.1144415,-9.1552734e-05,-3.0517578e-05,12.182617,-0.0016260147,9.804352,0.11437988,-0.06149292,9.805782,-0.0014898479
-0.0066457377,-0.00010539713,10.475159,0.46498576,-0.06243856,-60.694885,-0.00025947392,-0.00019836426,0.11443219,-1.5258789e-05,0.00015258789,12.825012,0.0011558533,9.806503,0.11198425,-0.06149292,9.805783,-0.00077008456
-0.006608791,-0.00013717191,10.281372,0.46493325,-0.062646605,-59.09729,-0.0009981245,0.00021362305,0.11350464,0.00010681152,0.00015258789,13.395691,-0.0002002716,9.806259,0.11222839,-0.06388855,9.805793,-0.001031518
